CODE,DISTRICT,STATE,pincode
110094,EAST DELHI,DELHI,"DELHI, EAST DELHI 110094"
110032,EAST DELHI,DELHI,"DELHI, EAST DELHI 110032"
110053,EAST DELHI,DELHI,"DELHI, EAST DELHI 110053"
110020,NEW DELHI,DELHI,"DELHI, NEW DELHI 110020"
110001,NEW DELHI,DELHI,"DELHI, NEW DELHI 110001"
110001,NEW DELHI,DELHI,"DELHI, NEW DELHI 110001"
110006,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110006"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110084,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110084"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110006,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110006"
110006,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110006"
110054,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110054"
110006,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110006"
110006,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110006"
110006,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110006"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110054,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110054"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110084,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110084"
110084,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110084"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110054,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110054"
110007,NORTH DELHI,DELHI,"DELHI, NORTH DELHI 110007"
110066,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110066"
110022,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110022"
110022,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110022"
110022,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110022"
110022,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110022"
110022,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110022"
